dataset,fastme,heuristic,gap,nj,exact,nj_criterion,time,radius_exact,radius_relaxation,lp_gap
01-Primates12,0.19594466640625002,0.19594466640625002,0.0,0.2060542609375001,true,true,0.157730914,1.7269023707821756,2.0,-0.032574904041517305
01-Primates12,0.19594466640625002,0.19594466640625002,0.0,0.2060542609375001,false,true,0.022847975,1.7269023707821756,2.0,-0.032574904041517305
01-Primates12,0.19594466640625002,0.19594466640625002,0.0,0.2060542609375001,true,false,0.129458147,1.7269023707821756,2.0,-0.032574904041517305
01-Primates12,0.19594466640625002,0.19594466640625002,0.0,0.2060542609375001,false,false,0.022393279,1.7269023707821756,2.0,-0.032574904041517305
02-M17,0.15860070835937506,0.15860070835937506,0.0,0.16177620015625008,true,true,0.92097909,2.750826059131784,5.0,-0.03526212206831958
02-M17,0.15860070835937506,0.15860070835937506,0.0,0.16177620015625008,false,true,0.091988577,2.750826059131784,5.0,-0.03526212206831958
02-M17,0.15860070835937506,0.15897385464843755,-0.00235274036870603,0.16177620015625008,true,false,0.994590655,2.385014741817348,5.0,-0.037697825055101886
02-M17,0.15860070835937506,0.15860070835937506,0.0,0.16177620015625008,false,false,0.092315965,2.750826059131784,5.0,-0.03526212206831958
03-M18,0.2519759761328124,0.2518810735156249,0.00037663359278949926,0.2605998374218749,true,true,1.369260605,3.6968849959338717,8.0,-0.0469988249254325
03-M18,0.2519759761328124,0.2520547519335937,-0.0003126321881565808,0.2605998374218749,false,true,0.113245819,4.0,8.0,-0.04772075729212544
03-M18,0.2519759761328124,0.2518810735156249,0.00037663359278949926,0.2605998374218749,true,false,1.422385105,3.6968849959338717,8.0,-0.0469988249254325
03-M18,0.2519759761328124,0.2518810735156249,0.00037663359278949926,0.2605998374218749,false,false,0.113667388,3.6968849959338717,8.0,-0.0469988249254325
05-M43,0.3521695252302241,0.3527841236249998,-0.0017451776793404594,0.37558386887890666,true,true,290.941007541,10.0,13.0,-0.06037120859036427
05-M43,0.3521695252302241,0.35673843863622995,-0.012973619460738384,0.37558386887890666,false,true,4.652939379,8.919356151750037,10.0,-0.07225678253433854
05-M43,0.3521695252302241,0.3529861721540526,-0.0023189028729688754,0.37558386887890666,true,false,368.372510914,10.0,13.0,-0.060978510417737164
05-M43,0.3521695252302241,0.3530584547758182,-0.002524152380910749,0.37558386887890666,false,false,5.080237678,11.0,14.0,-0.061195771926600084
06-M62,0.6808473503033444,0.6815276333977897,-0.0009991712446881795,0.7182074333642596,true,true,7409.106026886,8.0,12.0,-0.047586747477240676
06-M62,0.6808473503033444,0.6879145127250678,-0.010379951421672695,0.7182074333642596,false,true,24.230280298,7.776567853918564,13.0,-0.057404119236087014
06-M62,0.6808473503033444,0.6824885440048979,-0.002410516396696316,0.7182074333642596,true,false,7850.419157662,9.0,12.0,-0.04906377814802698
06-M62,0.6808473503033444,0.6814509396099855,-0.0008865266294597607,0.7182074333642596,false,false,22.470574273,9.0,12.0,-0.047468860260669654
07-RbcL55,0.49572125261278843,0.49654720992835943,-0.0016661728970013279,0.5217928772381587,true,true,3505.025691461,9.0,33.0,-0.056932365722480505
07-RbcL55,0.49572125261278843,0.5178351621096218,-0.044609565114019256,0.5217928772381587,false,true,13.706495964,17.0,30.0,-0.10224512795424268
07-RbcL55,0.49572125261278843,0.5083095189695734,-0.025393840369837495,0.5217928772381587,true,false,4442.788578701,17.0,41.0,-0.08196918975998324
07-RbcL55,0.49572125261278843,0.5071737285787956,-0.023102652762303055,0.5217928772381587,false,false,13.778251432,16.0,41.0,-0.07955158756489111
08-Rana64,0.23970439597240425,0.24117263711769135,-0.006125215765572012,0.25193099298901384,true,true,7857.678352799,12.334616709609833,17.0,-0.09249268264281763
08-Rana64,0.23970439597240425,0.25113365178094466,-0.04768062664089068,0.25193099298901384,false,true,26.200530453,14.0,14.0,-0.13761527930784268
08-Rana64,0.23970439597240425,0.2428952686631774,-0.013311698677151096,0.25193099298901384,true,false,9892.695664176,14.24970887461436,19.0,-0.10029606523557333
08-Rana64,0.23970439597240425,0.25011867244766245,-0.043446330773412756,0.25193099298901384,false,false,27.378600347,14.743314742052643,21.0,-0.13301750441970994
RDSM32,0.2738329371085694,0.2736136731413085,-0.0008007216720387067,0.28157416327265616,true,true,45.672042994,6.275836612166003,20.0,0.36433188812361794
RDSM32,0.2738329371085694,0.27700413883068825,0.01158078993565903,0.28157416327265616,false,true,1.307664509,7.0,20.0,0.38123791625628667
RDSM32,0.2738329371085694,0.27848467120556675,0.016987489328769367,0.28157416327265616,true,false,42.945281277,7.0,21.0,0.3886203599304481
RDSM32,0.2738329371085694,0.27732159175097637,0.012740084079161829,0.28157416327265616,false,false,1.284049546,8.0,19.0,0.38282084570990116
RDSM64,0.2622318140342039,0.2587747638545591,-0.013183183712384694,0.28100936206586874,true,true,6403.209145242,10.64859387409657,51.0,0.5589913084213571
RDSM64,0.2622318140342039,0.266495231004584,0.0162581988233661,0.28100936206586874,false,true,26.643987861,10.080314237351956,52.0,0.6055033446205522
RDSM64,0.2622318140342039,0.2772307198337014,0.057197124821556145,0.28100936206586874,true,false,6282.833586147,14.202812251806863,57.0,0.6701794108912769
RDSM64,0.2622318140342039,0.26075816501136484,-0.005619642407869163,0.28100936206586874,false,false,25.570744811,10.548263752383825,53.0,0.5709403297189319
